Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
?,1,1,0,0,0.0121951219512195,0
adjacent water of Hanrim,1,1,0,0,0.0158730158730159,0
Almirante Bay,4,2,2,29,0.0169491525423729,0.5
Balayan Bay,1,1,0,0,0.0121951219512195,0
Bohai Sea,4,2,2,46,0.02,0.5
Club de Yates,1,1,0,0,0.0121951219512195,0
Coral Sea,4,1,3,43.5,0.0196078431372549,0.75
East China Sea,8,2,6,102,0.0238095238095238,0.75
Gulf of Mexico,12,2,10,95.5,0.025,0.833333333333333
Gulf of Thailand,4,1,3,24,0.0169491525423729,0.75
Howe Sound/Sunshine Coast,2,1,1,0,0.0119047619047619,0.5
Korea Straight,1,1,0,0,0.0153846153846154,0
Mozambique Channel,1,1,0,0,0.0121951219512195,0
North Sea,2,1,1,0,0.0161290322580645,0.5
Queen Charlotte Islands,1,1,0,0,0.0135135135135135,0
Queen Charlotte Sound,3,2,1,8,0.0163934426229508,0.333333333333333
San Pedro Shelf,1,1,0,0,0.0158730158730159,0
Skagerrak Straight,2,2,0,0,0.0161290322580645,0
South Atlantic Ocean,1,1,0,0,0.0158730158730159,0
South China Sea,3,2,1,7.5,0.0161290322580645,0.333333333333333
South Pacific Ocean,3,2,1,9,0.0169491525423729,0.333333333333333
South San Diego Shelf,1,1,0,0,0.0158730158730159,0
Tonkin Gulf,2,2,0,0,0.0140845070422535,0
Verde Island Passage,1,1,0,0,0.0153846153846154,0
Yellow Sea,4,1,3,24.5,0.0142857142857143,0.75
