?,adjacent water of Hanrim,Almirante Bay,Balayan Bay,Bohai Sea,Club de Yates,Coral Sea,East China Sea,Gulf of Mexico,Gulf of Thailand,Howe Sound/Sunshine Coast,Korea Straight,Mozambique Channel,North Sea,Queen Charlotte Islands,Queen Charlotte Sound,San Pedro Shelf,Skagerrak Straight,South Atlantic Ocean,South China Sea,South Pacific Ocean,South San Diego Shelf,Tonkin Gulf,Verde Island Passage,Yellow Sea,ambig,taxa
0,0,0,0,0,0,0.03317535545023697,0,0.03317535545023697,0,0,0,0,0.037914691943127965,0,0,0,0,0,0.3791469194312796,0,0,0.13744075829383887,0,0.3791469194312796,TRUE,JQ740612_1_Luidia_quinaria_voucher_MBM_E00Q1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,JQ740617_1_Luidia_quinaria_voucher_MBM_E00Q6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,JQ740616_1_Luidia_quinaria_voucher_MBM_E00Q5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,JQ740631_1_Luidia_longispina_voucher_MBM_E00L3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,JQ740614_1_Luidia_quinaria_voucher_MBM_E00Q3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,JQ740626_1_Luidia_orientalis_voucher_MBM_E00O3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,JQ740620_1_Luidia_yesoensis_voucher_MBM_E00Y3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7250859106529209,0,0,0,0,0.27491408934707906,FALSE,Luidia_ludwigi_scotti_IE_2013_6497
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7250859106529209,0,0,0,0,0.27491408934707906,FALSE,Luidia_ludwigi_scotti_IE_2013_6486
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,FWRI_I_00014_Luidia_ludwigi_scotti
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,FWRI_I_00013_Luidia_ludwigi_scotti
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,DISA373_18_Luidia_armata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,MN730743_1_Asteroidea_sp_RCMBAR2223
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730700_1_Asteroidea_sp_RCMBAR088
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,Luidia_magnifica_COIce_Karen
0,0,0,0,0,0,0.35353535353535354,0,0.0707070707070707,0,0,0,0,0.36363636363636365,0,0,0,0,0,0.0707070707070707,0,0,0.0707070707070707,0,0.0707070707070707,FALSE,Luidia_magnifica_IE_2013_1762
0,0,0,0,0,0,0.26119402985074625,0,0,0,0,0,0,0.7388059701492538,0,0,0,0,0,0,0,0,0,0,0,FALSE,Luidia_magnifica_IE_2013_1757
0,0,0,0,0,0,0.26119402985074625,0,0,0,0,0,0,0.7388059701492538,0,0,0,0,0,0,0,0,0,0,0,FALSE,UF17286
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,Luidia_maculata_IE_2007_1023
0,0,0.38461538461538464,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0,0,0,0.23076923076923078,0,0,0,0,0.23076923076923078,0,0,0,0,0,0,FALSE,Luidia_savignyi_USNM40467
0,0,0.18518518518518517,0,0,0,0,0,0.037037037037037035,0.037037037037037035,0,0,0,0.37037037037037035,0,0,0,0,0.37037037037037035,0,0,0,0,0,0,TRUE,Luidia_savignyi_USNM53668
0,0,0,0,0,0,0,0,0.02631578947368421,0,0,0,0,0.7105263157894737,0,0,0,0,0.2631578947368421,0,0,0,0,0,0,FALSE,Luidia_sibogae_CAS184021
0,0,0,0,0,0,0,0,0.02631578947368421,0,0,0,0,0.7105263157894737,0,0,0,0,0.2631578947368421,0,0,0,0,0,0,FALSE,Luidia_maculata_CAS202422
0,0,0,0,0,0,0.18333333333333332,0,0.016666666666666666,0,0,0,0,0.6333333333333333,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,FALSE,MT444499_1_Luidia_maculata_voucher_SS_0354
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,UF17309
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,JQ740635_1_Luidia_maculata_voucher_MBM_E00M2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,JQ740634_1_Luidia_maculata_voucher_MBM_E00M1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,KT271545_1_Eleutherozoa_sp_COT005_L39
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,KT271549_1_Eleutherozoa_sp_COT022_L218
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM473927_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_24195
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM542257_1_Luidia_foliolata_voucher_NEOCAL07_0114
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM473922_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_24124
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM542256_1_Luidia_foliolata_voucher_NEOCAL07_0113
