?,Almirante Bay,Balayan Bay,Bering Sea,Club de Yates,Coral Sea,East China Sea,Gulf of Mexico,Gulf of Thailand,Hauraki Gulf,Howe Sound/Sunshine Coast,Monterey Bay,Mozambique Channel,North Pacific Ocean,Panama Bay,Persian Gulf,South Atlantic Ocean,South Pacific Ocean,Southeast Pacific Ocean,Verde Island Passage,ambig,taxa
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,Luidia_ludwigi_scotti_IE-2013-6486
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00013_Luidia_ludwigi_scotti
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00014_Luidia_ludwigi_scotti
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,Luidia_barbadensis_481
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,Luidia_barbadensis_153
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,EU072952_1_Luidia_foliolata_voucher_CASIZ_105625
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,DSPEC019_07_Luidia_foliolata
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730810_1_Asteroidea_sp_RCMBAR825
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00019_Luidia_senegalensis
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730832_1_Asteroidea_sp_RCMBAR687
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730861_1_Asteroidea_sp_RCMBAR1003
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730916_1_Asteroidea_sp_RCMBAR2351
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730812_1_Asteroidea_sp_RCMBAR2353
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730855_1_Asteroidea_sp_RCMBAR2355
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730793_1_Asteroidea_sp_RCMBAR1006
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00031_Luidia_clathrata
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00028_Luidia_lawrencei
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00023_Luidia_lawrencei
0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,TRUE,FWRI_I_00026_Luidia_lawrencei
0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,TRUE,D63743_1_Luidia_quinalia
0.18181818181818182,0,0,0.18181818181818182,0,0,0,0.18181818181818182,0.2727272727272727,0,0,0,0,0,0,0.18181818181818182,0,0,0,0,FALSE,MT396683_1_Luidia_hardwicki_voucher_C6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,MT396682_1_Luidia_hardwicki_voucher_G4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,MN730883_1_Asteroidea_sp_RCMBAR1302
0.2608695652173913,0,0,0.2608695652173913,0,0,0,0.08695652173913043,0.30434782608695654,0,0,0,0,0,0,0.08695652173913043,0,0,0,0,FALSE,MN730913_1_Asteroidea_sp_RCMBAR092
0.13953488372093023,0,0,0.37209302325581395,0,0,0,0.046511627906976744,0.3953488372093023,0,0,0,0,0,0,0.046511627906976744,0,0,0,0,FALSE,MN730878_1_Asteroidea_sp_RCMBAR574
