Accession,Country,Region,Body_of_Water,Larva_or_Adult,Body_of_Water_formatted
DISA072_18_Luidia_asthenosoma,USA,California,South_San_Diego_Shelf,adult,South San Diego Shelf
DISA373_18_Luidia_armata,USA,California,San_Pedro_Shelf,adult,San Pedro Shelf
FSBC_I_133245_Luidia_barbadensis,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00013_Luidia_ludwigi_scotti,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00014_Luidia_ludwigi_scotti,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00018_Luidia_senegalensis,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00021_Luidia_lawrencei,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00026_Luidia_lawrencei,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00027_Luidia_lawrencei,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00030_Luidia_clathrata,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00034_Luidia_clathrata,USA,Alabama,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00035_Luidia_alternata,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00036_Luidia_alternata,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00142_122548_Luidia_sagamina_aciculata_COI,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00144_69376_Luidia_sagamina_aciculata_COI,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00146_131848_Luidia_sagamina_aciculata_COI,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
FWRI_I_00149_128086_Luidia_barbadensis_COI,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
HM400306_Dipsacaster_borealis_voucher_RBCM_EC00025,Canada,British_Columbia,Queen_Charlotte_Islands,adult,Queen Charlotte Islands
HM473921_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_24123,Canada,British_Columbia,Queen_Charlotte_Sound,?,Queen Charlotte Sound
HM473922_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_24124,Canada,British_Columbia,Queen_Charlotte_Sound,?,Queen Charlotte Sound
HM473923_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_23991,Canada,British_Columbia,Queen_Charlotte_Sound,?,Queen Charlotte Sound
HM473924_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_23992,Canada,British_Columbia,Queen_Charlotte_Sound,?,Queen Charlotte Sound
HM473925_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_23993,Canada,British_Columbia,Queen_Charlotte_Sound,?,Queen Charlotte Sound
HM473926_Luidia_foliolata_voucher_BIOUG_CAN_HLC_24194,Canada,British_Columbia,Queen_Charlotte_Sound,?,Queen Charlotte Sound
HM473927_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_24195,Canada,British_Columbia,Queen_Charlotte_Sound,?,Queen Charlotte Sound
HM542255_1_Luidia_foliolata_voucher_NEOCAL07_0112,Canada,British_Columbia,Howe_Sound/Sunshine_Coast,adult,Howe Sound/Sunshine Coast
HM542256_1_Luidia_foliolata_voucher_NEOCAL07_0113,Canada,British_Columbia,Howe_Sound/Sunshine_Coast,adult,Howe Sound/Sunshine Coast
HM542257_1_Luidia_foliolata_voucher_NEOCAL07_0114,Canada,British_Columbia,Howe_Sound/Sunshine_Coast,adult,Howe Sound/Sunshine Coast
HM542258_1_Luidia_foliolata_voucher_NEOCAL07_0115,Canada,British_Columbia,Howe_Sound/Sunshine_Coast,adult,Howe Sound/Sunshine Coast
HM542259_1_Luidia_foliolata_voucher_NEOCAL07_0121,Canada,British_Columbia,Howe_Sound/Sunshine_Coast,adult,Howe Sound/Sunshine Coast
JQ740612_1_Luidia_quinaria_voucher_MBM_E00Q1,China,?,Yellow_Sea,adult,Yellow Sea
JQ740613_1_Luidia_quinaria_voucher_MBM_E00Q2,China,?,Yellow_Sea,adult,Yellow Sea
JQ740614_1_Luidia_quinaria_voucher_MBM_E00Q3,China,?,Yellow_Sea,adult,Yellow Sea
JQ740615_1_Luidia_quinaria_voucher_MBM_E00Q4,China,?,Yellow_Sea,adult,Yellow Sea
JQ740616_1_Luidia_quinaria_voucher_MBM_E00Q5,China,?,Yellow_Sea,adult,Yellow Sea
JQ740617_1_Luidia_quinaria_voucher_MBM_E00Q6,China,?,Yellow_Sea,adult,Yellow Sea
JQ740618_1_Luidia_yesoensis_voucher_MBM_E00Y1,China,?,Bohai_Sea,adult,Bohai Sea
JQ740619_1_Luidia_yesoensis_voucher_MBM_E00Y2,China,?,Bohai_Sea,adult,Bohai Sea
JQ740620_1_Luidia_yesoensis_voucher_MBM_E00Y3,China,?,Bohai_Sea,adult,Bohai Sea
JQ740622_1_Luidia_changi_voucher_MBM_E00C2,China,?,Yellow_Sea,adult,Yellow Sea
JQ740623_1_Luidia_changi_voucher_MBM_E00C3,China,?,Yellow_Sea,adult,Yellow Sea
JQ740624_1_Luidia_orientalis_voucher_MBM_E00O1,China,?,South_China_Sea,adult,South China Sea
JQ740625_1_Luidia_orientalis_voucher_MBM_E00O2,China,?,South_China_Sea,adult,South China Sea
JQ740626_1_Luidia_orientalis_voucher_MBM_E00O3,China,?,South_China_Sea,adult,South China Sea
JQ740628_1_Luidia_avicularia_voucher_MBM_E00A3,China,?,South_China_Sea,adult,South China Sea
JQ740630_1_Luidia_longispina_voucher_MBM_E00L2,China,?,Tonkin_Gulf,adult,Tonkin Gulf
JQ740631_1_Luidia_longispina_voucher_MBM_E00L3,China,?,Tonkin_Gulf,adult,Tonkin Gulf
JQ740632_1_Luidia_hardwicki_voucher_MBM_E00H1,China,?,East_China_Sea,adult,East China Sea
JQ740634_1_Luidia_maculata_voucher_MBM_E00M1,China,East_China,East_China_Sea,?,East China Sea
JQ740635_1_Luidia_maculata_voucher_MBM_E00M2,China,East_China,East_China_Sea,?,East China Sea
KT271545_1_Eleutherozoa_sp_COT005_L39,Australia,Great_Barrier_Reef,Coral_Sea,larva,Coral Sea
KT271549_1_Eleutherozoa_sp_COT022_L218,Australia,Great_Barrier_Reef,Coral_Sea,larva,Coral Sea
KX458989_1_Luidia_sarsi_voucher_MT06514,?,Station_270,North_Sea,adult,North Sea
KX458990_1_Luidia_sarsi_voucher_MT00181,?,Box_C,North_Sea,adult,North Sea
KX458991_1_Luidia_sarsi_voucher_MT03587,?,Station_274,North_Sea,adult,North Sea
KX458992_1_Luidia_sarsi_voucher_MT06511,?,Station_270,North_Sea,adult,North Sea
KX458993_1_Luidia_sarsi_voucher_MT03585,?,Station_274,North_Sea,adult,North Sea
KX458994_1_Luidia_sarsi_voucher_MT03586,?,Station_274,North_Sea,adult,North Sea
KX458995_1_Luidia_sarsi_voucher_MT06515,?,Station_270,North_Sea,adult,North Sea
KX458996_1_Luidia_sarsi_voucher_MT00184,?,Box_C,North_Sea,adult,North Sea
KX458997_1_Luidia_sarsi_voucher_MT00182,?,Box_C,North_Sea,adult,North Sea
KX458998_1_Luidia_sarsi_voucher_MT06512,?,Station_270,North_Sea,adult,North Sea
KX458999_1_Luidia_sarsi_voucher_MT00183,?,Box_C,North_Sea,adult,North Sea
KX459000_1_Luidia_sarsi_voucher_MT00180,?,Box_C,North_Sea,adult,North Sea
KX459001_1_Luidia_sarsi_voucher_MT06513,?,Station_270,North_Sea,adult,North Sea
KX459002_1_Luidia_sarsi_voucher_MT03588,?,Station_274,North_Sea,adult,North Sea
KX459003_1_Luidia_sarsi_voucher_MT03584,?,Station_274,North_Sea,adult,North Sea
KY305010_1_Luidia_avicularia_isolate_LA1125,South_Korea,?,Korea_Straight,adult,Korea Straight
Lidia_avicularia_IE_2013_6763,Tonga,Ohonua,South_Pacific_Ocean,adult,South Pacific Ocean
Luidia_avicularia_IE_2013_6766,Australia,Eastern_Australia,Coral_Sea,adult,Coral Sea
Luidia_avicularia_IE_2013_6767,Australia,Eastern_Australia,Coral_Sea,adult,Coral Sea
Luidia_barbadensis_481,USA,Florida,Gulf_of_Mexico,adult,Gulf of Mexico
Luidia_ludwigi_scotti_IE_2013_6486,Brazil,Rio_de_Janeiro,South_Atlantic_Ocean,adult,South Atlantic Ocean
Luidia_ludwigi_scotti_IE_2013_6497,Brazil,Rio_de_Janeiro,South_Atlantic_Ocean,adult,South Atlantic Ocean
Luidia_maculata_CAS202422,Philippines,Batangas,Balayan_Bay,adult,Balayan Bay
Luidia_maculata_IE_2007_1023,Madagascar,Mahajamba_Bay_coast,Mozambique_Channel,adult,Mozambique Channel
Luidia_magnifica_COIce_Karen,Mexico,Colima,Club_de_Yates,adult,Club de Yates
Luidia_magnifica_IE_2013_1757,French_Polynesian,Austral_Islands:_Northeast_Rapa_Bench,South_Pacific_Ocean,adult,South Pacific Ocean
Luidia_magnifica_IE_2013_1762,French_Polynesian,Austral_Islands:_Neilson_Reef,South_Pacific_Ocean,adult,South Pacific Ocean
Luidia_savignyi_USNM40467,Japan,Okinawa:_Onna,East_China_Sea,adult,East China Sea
Luidia_savignyi_USNM53668,Japan,Okinawa:_Onna,East_China_Sea,adult,East China Sea
Luidia_sibogae_CAS184021,Philippines,Batangas,Verde_Island_Passage,adult,Verde Island Passage
MG934990_1_Luidia_ciliaris_voucher_Echin_6670V,Sweden,?,Skagerrak_Straight,adult,Skagerrak Straight
MG935115_1_Luidia_ciliaris_voucher_Echin_6671V,Sweden,?,Skagerrak_Straight,adult,Skagerrak Straight
MG935400_1_Luidia_sarsi_voucher_Echin_6334V,Sweden,?,Skagerrak_Straight,adult,Skagerrak Straight
MG940977_Luidia_sagamina_sagamina,South_Korea,Jeju_Island,adjacent_water_of_Hanrim,?,adjacent water of Hanrim
MN730669_1_Asteroidea_sp_RCMBAR1006,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730674_1_Asteroidea_sp_RCMBAR2027,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730685_1_Asteroidea_sp_RCMBAR224,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730689_1_Asteroidea_sp_RCMBAR2024,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730700_1_Asteroidea_sp_RCMBAR088,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730704_1_Asteroidea_sp_RCMBAR687,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730728_1_Asteroidea_sp_RCMBAR1003,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730736_1_Asteroidea_sp_RCMBAR1265,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730743_1_Asteroidea_sp_RCMBAR2223,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730752_1_Asteroidea_sp_RCMBAR2352,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730764_1_Asteroidea_sp_RCMBAR580,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730776_1_Asteroidea_sp_RCMBAR2351,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MT444499_1_Luidia_maculata_voucher_SS_0354,Singapore,?,?,adult,?
UF_17286_Luidia_magnifica_tRNAs-COI,Thailand,Rayong,Gulf_of_Thailand,?,Gulf of Thailand
UF_17309_Luidia_magnifica_tRNAs-COI,Thailand,ChonBuri,Gulf_of_Thailand,?,Gulf of Thailand
