Body_of_Water_formatted,color
?,#636363
adjacent water of Hanrim,#ffffff
Almirante Bay,#7635ff
Balayan Bay,#3a33ff
Bohai Sea,#0434ff
Club de Yates,#005cff
Coral Sea,#008bff
East China Sea,#00b9ff
Gulf of Mexico,#00e3ff
Gulf of Thailand,#00f0f7
Howe Sound/Sunshine Coast,#00fcef
Korea Straight,#00fbc3
Mozambique Channel,#00fa93
North Sea,#00fa5d
Queen Charlotte Islands,#00f91b
Queen Charlotte Sound,#00f900
San Pedro Shelf,#5ef900
Skagerrak Straight,#97fa00
South Atlantic Ocean,#c9fa00
South China Sea,#f6fb00
South Pacific Ocean,#ffdb00
South San Diego Shelf,#ffaf00
Tonkin Gulf,#ff4d00
Verde Island Passage,#ff2600
Yellow Sea,#000000
