Accession,Country,Region,Body_of_Water,Larva_or_Adult,Body_of_Water_formatted
Luidia_maculata_IE-2007-1023,Madagascar,Mahajamba_Bay_coast,Mozambique_Channel,adult,Mozambique Channel
Luidia_magellanica_IE-2013-17320,Chile,Papudo,Southeast_Pacific_Ocean,adult,Southeast Pacific Ocean
Luidia_magnifica_16S_Karen_RC,Mexico,Colima,Club_de_Yates,adult,Club de Yates
Luidia_magnifica_IE-2013-1757,French_Polynesian,Austral_Islands:_Northeast_Rapa_Bench,South_Pacific_Ocean,adult,South Pacific Ocean
Luidia_magnifica_IE-2013-1762,French_Polynesian,Austral_Islands:_Neilson_Reef,South_Pacific_Ocean,adult,South Pacific Ocean
Luidia_neozelanica_USNM1411198,New_Zealand,North_Island,Hauraki_Gulf,adult,Hauraki Gulf
Luidia_savignyi_USNM40467,Japan,Okinawa:_Onna,East_China_Sea,adult,East China Sea
Luidia_savignyi_USNM53668,Japan,Okinawa:_Onna,East_China_Sea,adult,East China Sea
Luidia_sibogae_CAS184021,Philippines,Batangas,Verde_Island_Passage,adult,Verde Island Passage
MN730793_1_Asteroidea_sp_RCMBAR1006,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730794_1_Asteroidea_sp_RCMBAR2228,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730800_1_Asteroidea_sp_RCMBAR2027,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730810_1_Asteroidea_sp_RCMBAR825,Panama,Panama,Panama_Bay,larva,Panama Bay
MN730811_1_Asteroidea_sp_RCMBAR224,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730812_1_Asteroidea_sp_RCMBAR2353,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730816_1_Asteroidea_sp_RCMBAR2024,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730828_1_Asteroidea_sp_RCMBAR088,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730832_1_Asteroidea_sp_RCMBAR687,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730855_1_Asteroidea_sp_RCMBAR2355,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730861_1_Asteroidea_sp_RCMBAR1003,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730869_1_Asteroidea_sp_RCMBAR1265,Panama,Bocas_Del_Toro,Almirante_Bay,larva*,Almirante Bay
